PLAYER_ID,FG_PCT,FG3_PCT
1628401,0.394,0.327
1630217,0.484,0.391
1626164,0.456,0.33
1642269,0.414,0.263
1630170,0.437,0.384
1628415,0.435,0.344
1641794,0.222,0.2
1627734,0.543,0.185
1631230,0.539,0.256
1642270,0.52,0.341
1628378,0.483,0.364
1628978,0.406,0.379
1627827,0.333,0.27
203926,0.388,0.39
1642962,0.402,0.28
203110,0.418,0.326
1629234,0.596,0.143
1641809,0.125,0.0
1631166,0.576,0.44
1630696,0.415,0.295
1629130,0.456,0.41
1641871,0.446,0.418
203939,0.644,0.286
1642928,0.587,0.5
1642844,0.505,0.343
1630700,0.517,0.188
1630604,0.486,0.346
1642856,0.399,0.385
1641989,0.335,0.239
1641801,0.462,0.333
1642402,0.5,0.5
201569,0.571,0.571
1630679,0.378,0.328
1630596,0.546,0.297
1630532,0.481,0.345
1641713,0.496,0.332
1629216,0.352,0.341
202066,0.267,0.25
1629726,0.404,0.37
203914,0.442,0.412
1627780,0.583,0.291
1629018,0.387,0.36
203507,0.624,0.333
1629048,0.676,0.182
1641711,0.419,0.301
1641761,0.556,0.0
1629684,0.426,0.388
1628960,0.403,0.349
1627824,0.401,0.352
1630611,0.5,0.351
203084,0.456,0.388
1631127,0.833,1.0
1643060,0.667,0.0
1629312,0.522,0.571
1630529,0.383,0.309
1642864,0.476,0.362
1630621,0.357,0.0
1642282,0.6,0.0
1641816,0.269,0.212
1630193,0.443,0.374
1642403,0.429,0.0
1630171,0.46,0.33
1642268,0.495,0.27
1642384,0.417,0.231
1628392,0.622,0.0
1630543,0.637,0.0
1630198,0.455,0.423
1630587,0.344,0.3
1641815,0.429,0.0
1630191,0.55,0.333
1627826,0.598,0.0
1631120,0.375,0.25
1629630,0.41,0.235
1642266,0.446,0.409
1631095,0.449,0.363
1631133,0.455,0.337
1631210,0.667,0.0
1630702,0.424,0.397
1631093,0.445,0.373
1630183,0.515,0.412
1630256,0.514,0.313
1642942,0.395,0.253
1642443,0.4,0.333
1643141,0.0,0.0
1631170,0.507,0.317
1631222,0.459,0.321
1627751,0.7,0.0
1628973,0.467,0.369
1631105,0.65,0.0
1630224,0.422,0.313
1630552,0.489,0.352
1629618,0.422,0.386
1641771,0.442,0.375
1630188,0.483,0.373
1630591,0.435,0.339
1631114,0.484,0.299
1630592,0.396,0.355
1631288,0.487,0.384
1627750,0.483,0.435
1642347,0.367,0.321
1631123,0.458,0.295
201935,0.434,0.375
1630164,0.6,0.0
1642364,0.446,0.297
1642419,0.51,0.412
1641716,0.419,0.374
1642272,0.425,0.385
1628991,0.476,0.357
1629020,0.471,0.293
1628386,0.638,0.1
1642859,0.473,0.354
1642914,0.465,0.423
1631451,0.22,0.13
1629750,0.447,0.381
1629637,0.756,1.0
1630643,0.476,0.319
1627759,0.477,0.347
1641740,0.434,0.327
1642377,0.431,0.353
1631119,0.423,0.383
1642281,0.493,0.446
1643257,0.571,0.25
1628369,0.411,0.329
201145,0.368,0.273
203924,0.453,0.389
1642847,0.434,0.33
1630526,0.37,0.244
1631110,0.496,0.244
1630579,0.784,0.0
1641724,0.418,0.372
1628975,0.401,0.363
202710,0.519,0.376
1642866,0.663,0.0
1629111,0.515,0.383
204060,0.593,0.438
203954,0.489,0.333
1628381,0.552,0.406
1629723,0.472,0.283
1642967,0.429,0.403
1642910,0.286,0.3
1641780,0.167,0.0
1642277,0.47,0.324
1630548,0.421,0.25
202685,0.582,0.308
1628371,0.422,0.184
1630228,0.463,0.333
1642367,0.591,0.0
203903,0.451,0.327
1630692,0.413,0.371
1641722,0.366,0.348
1629162,0.418,0.425
1641757,0.531,0.345
1629673,0.372,0.333
1641775,0.509,0.384
1630631,0.416,0.352
1630581,0.448,0.364
1630182,0.459,0.42
1628404,0.508,0.413
1631169,0.5,0.418
1642490,0.647,0.0
1629006,0.425,0.385
201950,0.451,0.378
1630577,0.437,0.381
1641763,0.421,0.308
1642882,0.529,0.0
1631124,0.467,0.387
203944,0.481,0.315
1630551,0.502,0.319
1642348,0.447,0.372
203994,0.503,0.352
1642354,0.343,0.3
1642955,0.625,0.5
1642880,0.402,0.293
1626157,0.501,0.368
1631255,0.604,0.422
1642857,0.429,0.423
202695,0.505,0.387
1630811,0.398,0.373
1631099,0.42,0.277
1642276,0.53,0.395
1629640,0.519,0.363
203482,0.49,0.255
1626162,0.467,0.36
1631113,0.445,0.395
1629026,0.473,0.388
203484,0.41,0.316
1631165,0.44,0.363
1642352,0.49,0.295
1642933,0.417,0.0
201142,0.52,0.413
1628989,0.451,0.308
201567,0.397,0.373
1641755,0.426,0.333
1629645,0.465,0.322
1626172,0.417,0.154
1641718,0.456,0.371
1642863,0.533,0.238
203114,0.42,0.36
1630165,0.304,0.27
202691,0.393,0.383
1641738,0.469,0.374
1641723,0.3,0.192
